Date,Close
18-05-2012,38.23
21-05-2012,34.029999
22-05-2012,31
23-05-2012,32
24-05-2012,33.029999
25-05-2012,31.91
29-05-2012,28.84
30-05-2012,28.190001
31-05-2012,29.6
01-06-2012,27.719999
04-06-2012,26.9
05-06-2012,25.870001
06-06-2012,26.809999
07-06-2012,26.309999
08-06-2012,27.1
11-06-2012,27.01
12-06-2012,27.4
13-06-2012,27.27
14-06-2012,28.290001
15-06-2012,30.01
18-06-2012,31.41
19-06-2012,31.91
20-06-2012,31.6
21-06-2012,31.84
22-06-2012,33.049999
25-06-2012,32.060001
26-06-2012,33.099998
27-06-2012,32.23
28-06-2012,31.360001
29-06-2012,31.1
02-07-2012,30.77
03-07-2012,31.200001
05-07-2012,31.469999
06-07-2012,31.73
09-07-2012,32.169998
10-07-2012,31.469999
11-07-2012,30.969999
12-07-2012,30.809999
13-07-2012,30.719999
16-07-2012,28.25
17-07-2012,28.09
18-07-2012,29.110001
19-07-2012,29
20-07-2012,28.76
23-07-2012,28.75
24-07-2012,28.450001
25-07-2012,29.34
26-07-2012,26.85
27-07-2012,23.709999
30-07-2012,23.15
31-07-2012,21.709999
01-08-2012,20.879999
02-08-2012,20.040001
03-08-2012,21.09
06-08-2012,21.92
07-08-2012,20.719999
08-08-2012,20.719999
09-08-2012,21.01
10-08-2012,21.809999
13-08-2012,21.6
14-08-2012,20.379999
15-08-2012,21.200001
16-08-2012,19.870001
17-08-2012,19.049999
20-08-2012,20.01
21-08-2012,19.16
22-08-2012,19.440001
23-08-2012,19.440001
24-08-2012,19.41
27-08-2012,19.15
28-08-2012,19.34
29-08-2012,19.1
30-08-2012,19.09
31-08-2012,18.059999
04-09-2012,17.73
05-09-2012,18.58
06-09-2012,18.959999
07-09-2012,18.98
10-09-2012,18.809999
11-09-2012,19.43
12-09-2012,20.93
13-09-2012,20.709999
14-09-2012,22
17-09-2012,21.52
18-09-2012,21.870001
19-09-2012,23.290001
20-09-2012,22.59
21-09-2012,22.860001
24-09-2012,20.790001
25-09-2012,20.280001
26-09-2012,20.620001
27-09-2012,20.32
28-09-2012,21.66
01-10-2012,21.99
02-10-2012,22.27
03-10-2012,21.83
04-10-2012,21.950001
05-10-2012,20.91
08-10-2012,20.4
09-10-2012,20.23
10-10-2012,19.639999
11-10-2012,19.75
12-10-2012,19.52
15-10-2012,19.52
16-10-2012,19.48
17-10-2012,19.879999
18-10-2012,18.98
19-10-2012,19
22-10-2012,19.32
23-10-2012,19.5
24-10-2012,23.23
25-10-2012,22.559999
26-10-2012,21.940001
31-10-2012,21.110001
01-11-2012,21.209999
02-11-2012,21.18
05-11-2012,21.25
06-11-2012,21.17
07-11-2012,20.469999
08-11-2012,19.99
09-11-2012,19.209999
